sd_id,school_district,county,mask_required, Rate,Notes
2100081,Muhlenberg County School District,Muhlenberg County,TBD ,49.9,
2104470,Nicholas County School District,Nicholas County,In some circumstances,9.8,"yes; at certain times"""
2104500,Ohio County School District,Ohio County,no,46.4,
2104530,Oldham County School District,Oldham County,no,22.7,
2104560,Owen County School District,Owen County,no,22.3,
2104620,Owsley County School District,Owsley County,no,35.6,
2104740,Pendleton County School District,Pendleton County,yes,40.1,
2104800,Pike County School District,Pike County,unknown,46.4,
2104830,Pikeville Independent School District,Pike County,no,46.4,
2104890,Powell County School District,Powell County,no,32.4,
2104950,Pulaski County School District,Pulaski County,no,44.6,
2105220,Science Hill Independent School District,Pulaski County,no,44.6,
2105430,Somerset Independent School District,Pulaski County,no,44.6,
2105040,Robertson County School District,Robertson County,no,13.6,
2105070,Rockcastle County School District,Rockcastle County,no,32.5,
2105100,Rowan County School District,Rowan County,yes,16.4,
2105160,Russell County School District,Russell County,no,12.8,
2105260,Scott County School District,Scott County,yes,25.6,
2105320,Shelby County School District,Shelby County,no,42.0,
2105400,Simpson County School District,Simpson County,no,23.8,
2105490,Spencer County School District,Spencer County,no,49.5,
2105550,Todd County School District,Todd County,no,46.5,
2105580,Trigg County School District,Trigg County,no,3.9,
2105610,Trimble County School District,Trimble County,no,42.2,
2105640,Union County School District,Union County,no,58.6,
2105760,Washington County School District,Washington County,TBD ,60.2,
2105790,Wayne County School District,Wayne County,no,14.8,
2105820,Webster County School District,Webster County,no,74.0,
2105880,Whitley County School District,Whitley County,unknown,61.1,
2105910,Williamsburg Independent School District,Whitley County,no,61.1,
2105970,Wolfe County School District,Wolfe County,unknown,24.0,
2106000,Woodford County School District,Woodford County,TBD ,33.7,
